round,elapsed_sec,accuracy,f1,auc,precision,recall
1,366.06,0.7121,0.7323,0.793,0.7237,0.741
2,612.88,0.7128,0.7335,0.7829,0.7233,0.744
3,860.1,0.7051,0.7267,0.7782,0.7158,0.738
4,1114.67,0.7036,0.7251,0.7748,0.7147,0.7359
5,1369.01,0.7011,0.7219,0.7716,0.7138,0.7301
6,1582.69,0.6969,0.7171,0.7708,0.7113,0.7229
7,1831.62,0.6965,0.7165,0.7693,0.7112,0.722
8,2080.9,0.6954,0.7154,0.7674,0.7103,0.7205
9,2328.86,0.6952,0.7148,0.7663,0.7107,0.719
10,2585.71,0.6927,0.7121,0.764,0.7089,0.7154
11,2838.88,0.6964,0.7153,0.7638,0.7128,0.7179
12,3093.08,0.6918,0.7102,0.7624,0.7096,0.7109
13,3352.15,0.6898,0.7093,0.7616,0.7064,0.7122
14,3519.96,0.6889,0.7084,0.7613,0.7056,0.7113
15,3779.75,0.6877,0.7069,0.7593,0.705,0.7088
16,4038.5,0.6881,0.7078,0.7584,0.7046,0.7111
17,4295.82,0.6872,0.7068,0.7589,0.704,0.7096
18,4557.18,0.6885,0.7078,0.7573,0.7056,0.71
19,4813.59,0.6876,0.707,0.7575,0.7046,0.7094
20,5027.96,0.6874,0.7066,0.757,0.7047,0.7085
